version,status,timestamp,latitude,longitude,altitude,roll,pitch,heading,latitude_sigma,longitude_sigma,altitude_sigma,roll_sigma,pitch_sigma,heading_sigma,a_sigma,b_sigma,c_sigma,quality,number_of_satellites,hdop
0,0,88664069,37.5775158421,126.897495582,15.8804388046,1.67143249512,-0.291234433651,-132.414840698,0,0,0,0,0,0,0,0,0,5,6,0
0,0,88674709,37.5775152974,126.897496306,15.8801422119,1.67807877064,-0.279603391886,-132.407455444,0,0,0,0,0,0,0,0,0,5,6,0
0,0,88683884,37.5775147551,126.897497027,15.8797740936,1.66724991798,-0.270607978106,-132.404251099,0,0,0,0,0,0,0,0,0,5,6,0
0,0,88695229,37.5775142148,126.897497745,15.8796224594,1.65510320663,-0.262242794037,-132.396286011,0,0,0,0,0,0,0,0,0,5,6,0
0,0,88704846,37.5775136723,126.897498465,15.8793992996,1.65051949024,-0.256169438362,-132.390213013,0,0,0,0,0,0,0,0,0,5,6,0
0,0,88715559,37.5775131321,126.897499184,15.8791532516,1.64198243618,-0.257372647524,-132.385787964,0,0,0,0,0,0,0,0,0,5,6,0
0,0,88724013,37.5775125943,126.8974999,15.8792066574,1.63676857948,-0.262643843889,-132.377716064,0,0,0,0,0,0,0,0,0,5,6,0
0,0,88733890,37.5775120543,126.897500619,15.8790302277,1.64043545723,-0.26252925396,-132.370788574,0,0,0,0,0,0,0,0,0,5,6,0
0,0,88743983,37.577511517,126.897501335,15.8789806366,1.65527510643,-0.264190852642,-132.366195679,0,0,0,0,0,0,0,0,0,5,6,0
0,0,88754145,37.5775109817,126.897502048,15.8791589737,1.66163492203,-0.271410107613,-132.36076355,0,0,0,0,0,0,0,0,0,5,6,0
0,0,88763873,37.5775104442,126.897502763,15.8792047501,1.67790687084,-0.280348241329,-132.355545044,0,0,0,0,0,0,0,0,0,5,6,0
0,0,88773789,37.5775099127,126.897503479,15.8799095154,1.69142866135,-0.291520923376,-132.350448608,0,0,0,0,0,0,0,0,0,5,6,0
0,0,88783931,37.5775093795,126.897504189,15.8802185059,1.70168459415,-0.304698944092,-132.345001221,0,0,0,0,0,0,0,0,0,5,6,0
0,0,88793853,37.5775088447,126.897504902,15.8803901672,1.72328519821,-0.320684492588,-132.339614868,0,0,0,0,0,0,0,0,0,5,6,0
0,0,88803774,37.5775083151,126.897505614,15.8812360764,1.73623394966,-0.334206283092,-132.332855225,0,0,0,0,0,0,0,0,0,5,6,0
0,0,88814033,37.5775077838,126.897506321,15.8816804886,1.75812101364,-0.352025270462,-132.322891235,0,0,0,0,0,0,0,0,0,5,6,0
0,0,88825528,37.577507251,126.89750703,15.8820209503,1.77084064484,-0.372594445944,-132.316238403,0,0,0,0,0,0,0,0,0,5,6,0
0,0,88833769,37.5775067234,126.897507738,15.8830156326,1.77983605862,-0.400841265917,-132.311080933,0,0,0,0,0,0,0,0,0,5,6,0
0,0,88843967,37.5775061944,126.897508442,15.8836774826,1.79839992523,-0.426108717918,-132.303283691,0,0,0,0,0,0,0,0,0,5,6,0
0,0,88853917,37.5775056633,126.897509148,15.8841085434,1.81203627586,-0.452636659145,-132.293197632,0,0,0,0,0,0,0,0,0,5,6,0
