version,status,timestamp,latitude,longitude,altitude,heading,latitude_sigma,longitude_sigma,altitude_sigma,heading_sigma,quality,number_of_satellites,HDOP
0,0,36123256,37.5288298543,126.516580184,0,129.213760376,0,0,0,0,0,0,0
0,0,36133614,37.5288296717,126.516579903,0,129.204147339,0,0,0,0,0,0,0
0,0,36143295,37.5288295013,126.516579641,0,129.197860718,0,0,0,0,0,0,0
0,0,36153552,37.5288293208,126.516579363,0,129.191146851,0,0,0,0,0,0,0
0,0,36163326,37.5288291487,126.516579098,0,129.183059692,0,0,0,0,0,0,0
0,0,36173434,37.5288289708,126.516578824,0,129.1746521,0,0,0,0,0,0,0
0,0,36183456,37.5288287945,126.516578552,0,129.17036438,0,0,0,0,0,0,0
0,0,36193325,37.528828621,126.516578284,0,129.161392212,0,0,0,0,0,0,0
0,0,36203295,37.5288284458,126.516578014,0,129.160583496,0,0,0,0,0,0,0
0,0,36213252,37.5288282707,126.516577744,0,129.15435791,0,0,0,0,0,0,0
0,0,36223332,37.5288280934,126.516577471,0,129.152023315,0,0,0,0,0,0,0
0,0,36233358,37.528827917,126.516577199,0,129.149612427,0,0,0,0,0,0,0
0,0,36243332,37.5288277415,126.516576928,0,129.138549805,0,0,0,0,0,0,0
0,0,36253265,37.5288275668,126.516576659,0,129.13710022,0,0,0,0,0,0,0
0,0,36263674,37.5288273838,126.516576376,0,129.131027222,0,0,0,0,0,0,0
0,0,36273272,37.5288272151,126.516576116,0,129.12411499,0,0,0,0,0,0,0
0,0,36283568,37.5288270342,126.516575837,0,129.118606567,0,0,0,0,0,0,0
0,0,36293438,37.5288268606,126.516575569,0,129.111053467,0,0,0,0,0,0,0
0,0,36303482,37.528826684,126.516575296,0,129.105789185,0,0,0,0,0,0,0
0,0,36313325,37.5288265109,126.516575029,0,129.098724365,0,0,0,0,0,0,0
0,0,36323382,37.5288263341,126.516574755,0,129.090103149,0,0,0,0,0,0,0
0,0,36333272,37.5288261604,126.516574487,0,129.082183838,0,0,0,0,0,0,0
0,0,36343390,37.5288259828,126.516574212,0,129.069824219,0,0,0,0,0,0,0
0,0,36353618,37.5288258032,126.516573935,0,129.064071655,0,0,0,0,0,0,0
0,0,36363225,37.5288256345,126.516573674,0,129.053634644,0,0,0,0,0,0,0
0,0,36373209,37.5288254592,126.516573402,0,129.043960571,0,0,0,0,0,0,0
0,0,36383358,37.528825281,126.516573126,0,129.038314819,0,0,0,0,0,0,0
0,0,36393265,37.5288251071,126.516572857,0,129.027740479,0,0,0,0,0,0,0
0,0,36403291,37.5288249311,126.516572584,0,129.022399902,0,0,0,0,0,0,0
0,0,36413630,37.5288247495,126.516572303,0,129.015289307,0,0,0,0,0,0,0
0,0,36423362,37.5288245786,126.516572038,0,129.00970459,0,0,0,0,0,0,0
0,0,36433568,37.5288243994,126.51657176,0,129.007446289,0,0,0,0,0,0,0
0,0,36443332,37.5288242279,126.516571495,0,129.00163269,0,0,0,0,0,0,0
0,0,36453460,37.5288240502,126.516571219,0,129.001831055,0,0,0,0,0,0,0
0,0,36463308,37.5288238774,126.516570951,0,128.997161865,0,0,0,0,0,0,0
0,0,36473359,37.5288237011,126.516570678,0,128.993911743,0,0,0,0,0,0,0
0,0,36483248,37.5288235276,126.516570409,0,128.986999512,0,0,0,0,0,0,0
0,0,36493362,37.5288233502,126.516570133,0,128.982345581,0,0,0,0,0,0,0
0,0,36503273,37.5288231763,126.516569864,0,128.978546143,0,0,0,0,0,0,0
0,0,36513479,37.5288229973,126.516569586,0,128.972625732,0,0,0,0,0,0,0
0,0,36523337,37.5288228245,126.516569318,0,128.969833374,0,0,0,0,0,0,0
0,0,36533359,37.5288226487,126.516569045,0,128.967529297,0,0,0,0,0,0,0
0,0,36543681,37.5288224677,126.516568764,0,128.965179443,0,0,0,0,0,0,0
0,0,36553325,37.5288222983,126.516568501,0,128.958831787,0,0,0,0,0,0,0
0,0,36563615,37.5288221174,126.51656822,0,128.958557129,0,0,0,0,0,0,0
0,0,36573265,37.5288219478,126.516567957,0,128.95652771,0,0,0,0,0,0,0
0,0,36583494,37.5288217682,126.516567678,0,128.949737549,0,0,0,0,0,0,0
0,0,36593280,37.5288215964,126.516567411,0,128.941925049,0,0,0,0,0,0,0
0,0,36603404,37.5288214187,126.516567135,0,128.934707642,0,0,0,0,0,0,0
0,0,36613302,37.528821245,126.516566865,0,128.932067871,0,0,0,0,0,0,0
0,0,36623305,37.5288210694,126.516566592,0,128.927200317,0,0,0,0,0,0,0
0,0,36633268,37.5288208944,126.51656632,0,128.921875,0,0,0,0,0,0,0
0,0,36643302,37.5288207182,126.516566046,0,128.916091919,0,0,0,0,0,0,0
0,0,36653353,37.5288205416,126.516565771,0,128.910049438,0,0,0,0,0,0,0
0,0,36663253,37.5288203678,126.516565501,0,128.905410767,0,0,0,0,0,0,0
0,0,36673728,37.5288201838,126.516565214,0,128.901672363,0,0,0,0,0,0,0
0,0,36683289,37.5288200157,126.516564953,0,128.89704895,0,0,0,0,0,0,0
0,0,36693366,37.5288198384,126.516564677,0,128.889221191,0,0,0,0,0,0,0
0,0,36703385,37.5288196622,126.516564403,0,128.879959106,0,0,0,0,0,0,0
0,0,36713561,37.5288194834,126.516564124,0,128.875976562,0,0,0,0,0,0,0
0,0,36723255,37.5288193131,126.516563859,0,128.867294312,0,0,0,0,0,0,0
0,0,36733481,37.5288191333,126.516563579,0,128.862991333,0,0,0,0,0,0,0
0,0,36743293,37.5288189608,126.51656331,0,128.853179932,0,0,0,0,0,0,0
0,0,36753383,37.5288187835,126.516563034,0,128.847518921,0,0,0,0,0,0,0
0,0,36763329,37.5288186086,126.516562761,0,128.841430664,0,0,0,0,0,0,0
0,0,36773280,37.5288184336,126.516562488,0,128.835342407,0,0,0,0,0,0,0
0,0,36783984,37.5288182454,126.516562195,0,128.827957153,0,0,0,0,0,0,0
0,0,36793497,37.528818078,126.516561933,0,128.820053101,0,0,0,0,0,0,0
0,0,36803812,37.5288178965,126.51656165,0,128.812591553,0,0,0,0,0,0,0
0,0,36813335,37.5288177292,126.516561389,0,128.805160522,0,0,0,0,0,0,0
0,0,36823710,37.528817547,126.516561105,0,128.793685913,0,0,0,0,0,0,0
0,0,36833323,37.5288173782,126.516560841,0,128.786193848,0,0,0,0,0,0,0
0,0,36843611,37.5288171974,126.516560558,0,128.779953003,0,0,0,0,0,0,0
0,0,36853329,37.5288170264,126.516560291,0,128.767974854,0,0,0,0,0,0,0
0,0,36863525,37.5288168472,126.516560011,0,128.758392334,0,0,0,0,0,0,0
0,0,36873325,37.5288166751,126.516559742,0,128.749710083,0,0,0,0,0,0,0
0,0,36883443,37.5288164974,126.516559464,0,128.743453979,0,0,0,0,0,0,0
0,0,36893313,37.528816324,126.516559192,0,128.735519409,0,0,0,0,0,0,0
0,0,36903356,37.5288161472,126.516558916,0,128.732910156,0,0,0,0,0,0,0
0,0,36913302,37.5288159721,126.516558642,0,128.729827881,0,0,0,0,0,0,0
0,0,36923396,37.5288157943,126.516558363,0,128.730133057,0,0,0,0,0,0,0
0,0,36933365,37.5288156187,126.516558088,0,128.72366333,0,0,0,0,0,0,0
0,0,36943265,37.5288154445,126.516557815,0,128.719390869,0,0,0,0,0,0,0
0,0,36953289,37.5288152681,126.516557539,0,128.720001221,0,0,0,0,0,0,0
0,0,36963317,37.5288150916,126.516557263,0,128.712051392,0,0,0,0,0,0,0
0,0,36973687,37.5288149089,126.516556977,0,128.709381104,0,0,0,0,0,0,0
0,0,36983377,37.5288147381,126.516556709,0,128.704528809,0,0,0,0,0,0,0
0,0,36993592,37.5288145579,126.516556427,0,128.702011108,0,0,0,0,0,0,0
0,0,37003263,37.5288143874,126.516556159,0,128.698638916,0,0,0,0,0,0,0
0,0,37013495,37.5288142069,126.516555877,0,128.695480347,0,0,0,0,0,0,0
0,0,37023301,37.5288140339,126.516555605,0,128.692901611,0,0,0,0,0,0,0
0,0,37033388,37.5288138559,126.516555326,0,128.688034058,0,0,0,0,0,0,0
0,0,37043377,37.5288136796,126.51655505,0,128.679443359,0,0,0,0,0,0,0
0,0,37053321,37.528813504,126.516554774,0,128.677124023,0,0,0,0,0,0,0
0,0,37063241,37.5288133288,126.5165545,0,128.666305542,0,0,0,0,0,0,0
0,0,37073416,37.5288131491,126.516554218,0,128.660858154,0,0,0,0,0,0,0
0,0,37083268,37.5288129752,126.516553945,0,128.65222168,0,0,0,0,0,0,0
0,0,37093315,37.5288127978,126.516553666,0,128.646286011,0,0,0,0,0,0,0
0,0,37103281,37.5288126219,126.51655339,0,128.642028809,0,0,0,0,0,0,0
0,0,37113454,37.5288124424,126.516553108,0,128.635574341,0,0,0,0,0,0,0
0,0,37123628,37.5288122629,126.516552826,0,128.62701416,0,0,0,0,0,0,0
0,0,37133277,37.5288120928,126.516552559,0,128.62008667,0,0,0,0,0,0,0
0,0,37143550,37.5288119116,126.516552274,0,128.611602783,0,0,0,0,0,0,0
0,0,37153281,37.5288117401,126.516552004,0,128.60369873,0,0,0,0,0,0,0
0,0,37163461,37.5288115608,126.516551722,0,128.594360352,0,0,0,0,0,0,0
0,0,37173318,37.5288113874,126.516551449,0,128.583892822,0,0,0,0,0,0,0
0,0,37183384,37.5288112103,126.516551171,0,128.579818726,0,0,0,0,0,0,0
0,0,37193263,37.5288110366,126.516550897,0,128.574676514,0,0,0,0,0,0,0
0,0,37203331,37.5288108597,126.516550619,0,128.565979004,0,0,0,0,0,0,0
